Season,Judge_Age_Corr,Fan_Age_Corr
1,0.09117774519261349,-0.7002450830792716
2,-0.262428519248537,0.27398629101897415
3,-0.2601895153917305,-0.45027391953214424
4,-0.4542167128691642,-0.3026993442866974
5,-0.12616401397419091,-0.32402765569821107
6,-0.3540231400821556,-0.5310207383826308
7,-0.2674341574033583,-0.5953873182840712
8,-0.44020316979845997,-0.5711867105597284
9,-0.21804450891342064,-0.7009945235284243
10,-0.4813784503747838,-0.3413376463428486
11,-0.16298935158484115,-0.8848387162053478
12,-0.09783910881252043,-0.914641976555869
13,-0.156279024427718,-0.45812270561512586
14,-0.4604781506244465,-0.4357694467300106
15,-0.11538288344970907,-0.24101851706363828
16,-0.5774295819196834,-0.42073383506956225
17,-0.32686239351102964,-0.3138296163385696
18,-0.2549714064570759,-0.8251006446614803
19,-0.34694065361606824,-0.750757414936208
20,-0.29573900169178463,-0.47200263097066625
21,-0.3362277865147225,-0.44338645765457324
22,-0.33962025263277423,-0.6040947737871045
23,-0.4196560388103718,-0.794034164181153
24,-0.4309552631043656,-0.5399826959251655
25,-0.3396827117216697,-0.3675663931181029
26,-0.19487797287709505,-0.4202079256466505
27,-0.33611524012237487,-0.7180241962365266
28,-0.23071988425457568,-0.40632588279115783
29,-0.26095343452241715,-0.5646056408561092
30,-0.21249057678191904,-0.496848505550489
31,-0.245999381499757,-0.47189997729303407
32,-0.30112999990027733,0.24447128245861288
33,-0.32973360049126316,-0.5882341940303173
34,-0.31084290494776745,0.4672274523634432
